
//
AC  FR000000084
XX
AS  FR0000084
XX
ID  FR000000084
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G018404, SMIM11; distance: 59091 (upstream, forward)
DE  Gene: G034094, CLIC6; distance: 201684 (downstream, forward)
DE  Gene: G005434, RCAN1; distance: 46185 (upstream, reverse)
DE  Gene: G018451, ATP5O; distance: 551720 (downstream, reverse)
DE  Gene: G018465, KCNE1; distance: 20267 (overlapping, reverse)
XX
OS  human, Homo sapiens
OC  eukaryota; animalia; metazoa; chordata; vertebrata; tetrapoda; mammalia; eutheria; primates
XX
SC  Build HSA_Feb2009 (GRCh37; hg19): chr21:35839255..35840003 (FORWARD)
XX
PR  PM000499964; KCNE1; 35830901..35841901 (REVERSE)
XX
BF  T00140; c-Myc-isoform1; Species: human, Homo sapiens
MM  TFBS ChIP (C-MYC-ISOFORM1 (Jurkat)); ChIP-on-high-density oligonucleotide chr array; Cellular source: 0123, Jurkat [35139] [35138]
XX
RN  [35139]; RE35139.
RX  PUBMED: 11988577
RA  Kapranov P., Cawley S. E., Drenkow J., Bekiranov S., Strausberg R. L., Fodor S. P., Gingeras T. R.
RT  Large-scale transcriptional activity in chromosomes 21 and 22.
RL  Science 296:916-919 (2002).
RN  [35138]; RE35138.
RX  PUBMED: 14980218
RA  Cawley S., Bekiranov S., Ng H. H., Kapranov P., Sekinger E. A., Kampa D., Piccolboni A., Sementchenko V., Cheng J., Williams A. J., Wheeler R., Wong B., Drenkow J., Yamanaka M., Patel S., Brubaker S., Tammana H., Helt G., Struhl K., Gingeras T. R.
RT  Unbiased mapping of transcription factor binding sites along human chromosomes 21 and 22 points to widespread regulation of noncoding RNAs.
RL  Cell 116:499-509 (2004).
//
AC  FR000191207
XX
AS  FR0191207
XX
ID  FR000191207
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G005366, RAD23B; distance: 100557 (upstream, forward)
DE  Gene: G047365, ACTL7A; distance: 1429055 (downstream, forward)
DE  Gene: G004519, KLF4; distance: 52101 (upstream, reverse)
DE  Gene: G008911, ABCA1; distance: 2505030 (downstream, reverse)
XX
OS  human, Homo sapiens
OC  eukaryota; animalia; metazoa; chordata; vertebrata; tetrapoda; mammalia; eutheria; primates
XX
SC  Build HSA_Feb2009 (GRCh37; hg19): chr9:110195032..110195547 (FORWARD)
XX
PR  PM000444311;; 110194890..110205890 (REVERSE)
XX
BF  T02512; HNF-3alpha; Species: human, Homo sapiens
MM  TFBS ChIP (HNF-3ALPHA (MCF-7)); ChIP-Seq; Cellular source: 1653, MCF-7 [62865]
XX
PS  Matrix: M01012 (V$HNF3_Q6_01); 110195358..110195375; CSS: 0.988; MSS: 0.962
XX
RN  [62865]; RE62865.
RX  PUBMED: 18798982
RA  Zhang Y., Liu T., Meyer C. A., Eeckhoute J., Johnson D. S., Bernstein B. E., Nussbaum C., Myers R. M., Brown M., Li W., Liu X. S.
RT  Model-based analysis of ChIP-Seq (MACS).
RL  Genome Biol. 9:R137 (2008).
//
AC  FR000217489
XX
AS  FR0217489
XX
ID  FR000217489
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G059795, MIOS; distance: 323899 (upstream, forward)
DE  Gene: G035641, GLCCI1; distance: 35966 (downstream, forward)
DE  Gene: G032081, ICA1; distance: 180355 (upstream, reverse)
DE  Gene: G032403, RPA3; distance: 214453 (downstream, reverse)
XX
OS  human, Homo sapiens
OC  eukaryota; animalia; metazoa; chordata; vertebrata; tetrapoda; mammalia; eutheria; primates
XX
SC  Build HSA_Feb2009 (GRCh37; hg19): chr7:7972459..7972690 (FORWARD)
XX
BF  T06124; REST; Species: human, Homo sapiens
MM  TFBS ChIP (REST (Jurkat)); ChIP-Seq; Cellular source: 0123, Jurkat [62885]
XX
PS  Matrix: M01028 (V$NRSF_Q4); 7972653..7972671; CSS: 0.495; MSS: 0.616
XX
RN  [62885]; RE62885.
RX  PUBMED: 19160518
RA  Valouev A., Johnson D. S., Sundquist A., Medina C., Anton E., Batzoglou S., Myers R. M., Sidow A.
RT  Genome-wide analysis of transcription factor binding sites based on ChIP-Seq data.
RL  Nat. Methods 5:829-834 (2008).
//
AC  FR000254415
XX
AS  FR0254415
XX
ID  FR000254415
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G019777, WTAP; distance: 5733 (upstream, forward)
DE  Gene: G020281, MRPL18; distance: 26751 (downstream, forward)
DE  Gene: G006800, TCP1; distance: 16446 (upstream, reverse)
DE  Gene: G049575, TAGAP; distance: 717909 (downstream, reverse)
DE  Gene: G031701, ACAT2; distance: 1724 (overlapping, forward)
XX
OS  human, Homo sapiens
OC  eukaryota; animalia; metazoa; chordata; vertebrata; tetrapoda; mammalia; eutheria; primates
XX
SC  Build HSA_Feb2009 (GRCh37; hg19): chr6:160183084..160184092 (FORWARD)
XX
PR  PM000454977; ACAT2; 160173518..160184518 (FORWARD)
PR  PM000461778; SOD2; 160182462..160193462 (REVERSE)
XX
BF  T04759; STAT1; Species: human, Homo sapiens
MM  TFBS ChIP (STAT1 (HeLa S3 + IFN-gamma)); ChIP-Seq; Cellular source: 6471, HeLa S3 + IFN-gamma [52078]
XX
PS  Matrix: M00224 (V$STAT1_01); 160184095..160184115; CSS: 0.912; MSS: 0.797
XX
RN  [52078]; RE52078.
RX  PUBMED: 17558387
RA  Robertson G., Hirst M., Bainbridge M., Bilenky M., Zhao Y., Zeng T., Euskirchen G., Bernier B., Varhol R., Delaney A., Thiessen N., Griffith O. L., He A., Marra M., Snyder M., Jones S.
RT  Genome-wide profiles of STAT1 DNA association using chromatin immunoprecipitation and massively parallel sequencing.
RL  Nat. Methods 4:651-657 (2007).
//
AC  FR004421817
XX
AS  FR4424300
XX
ID  FR004421817
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G019747, FADS2; distance: 18059 (upstream, forward)
DE  Gene: G009826, BEST1; distance: 64327 (downstream, forward)
DE  Gene: G046762, RAB3IL1; distance: 11888 (upstream, reverse)
DE  Gene: G032137, FADS1; distance: 56176 (downstream, reverse)
DE  Gene: G019207, FADS3; distance: 6557 (overlapping, reverse)
XX
OS  human, Homo sapiens
OC  eukaryota; animalia; metazoa; chordata; vertebrata; tetrapoda; mammalia; eutheria; primates
XX
SC  Build HSA_Feb2009 (GRCh37; hg19): chr11:61652886..61652965 (FORWARD)
XX
PR  PM000490652; FADS3; 61646748..61657748 (REVERSE)
XX
BF   ;  ; Species:
MM  DNaseI HS (DNaseI HS (GM12891)); DNase I-Seq; Cellular source: 10584, GM12891 [73699]
XX
PS  Matrix: M01113 (V$CACD_01); 61652788..61652795; CSS: 1.000; MSS: 1.000
PS  Matrix: M00920 (V$E2F_Q6_01); 61652875..61652886; CSS: 0.957; MSS: 0.932
PS  Matrix: M00808 (V$PAX_Q6); 61652985..61652995; CSS: 0.740; MSS: 0.841
PS  Matrix: M01019 (V$TBX5_01); 61653008..61653019; CSS: 1.000; MSS: 0.993
XX
RN  [73699]; RE73699.
RT  Open Chromatin by DNaseI HS from ENCODE/OpenChrom(Duke University); URL: http://genome.ucsc.edu/cgi-bin/hgTrackUi?hgt_tSearch=Search&g=wgEncodeOpenChromDnase
RL  Internet.
//
AC  FR004422763
XX
AS  FR4425246
XX
ID  FR004422763
XX
DT  09.10.2013 (created); mkl.
DT  09.10.2013 (updated); mkl
CO  Copyright (C), Biobase GmbH
XX
DE  Gene: G031767, BBS1; distance: 58898 (upstream, forward)
DE  Gene: G033135, RBM14; distance: 22909 (downstream, forward)
DE  Gene: G035236, RBM4B; distance: 72473 (upstream, reverse)
DE  Gene: G032763, CTSF; distance: 24832 (downstream, reverse)
